Title,Url,Page,Location on page,Side,Drawing Inscription,Drawing Date,Support Material,Drawing Medium and Style,Set of Drawings,Drawing Source,Title of depicted object,Current Location,GeolocCurrentLocation,Current inventory no.,Source object material,Source object type,Date,Discovery date,Archeological Findspot,geolocFindspot,Provenance,Collector,Iconography,Tracing Source,Online Collection Record,Bibliographic References:,Notes,Updated date
Bassorilievo - Vase,http://digitalmontagny.inha.fr/en/record/montagny10v01b,Folio 10 Verso,"Leaf 10v, top of the page, left",Vertical,"Sympulles , Sympulles retirez d’une frise, antique de marbre, qui est à Rome.",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,Vase,"Du Choul, 1581 - p. 309",,,,2015-06-05T10:21:00Z
Bassorilievo - Vase,http://digitalmontagny.inha.fr/en/record/montagny10v01c,Folio 10 Verso,"Leaf 10v, top of the page, left",Vertical,autre sympulles,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,"vase, bas-relief (sculpture technique)",,,,,,,Vase,"Du Choul, 1581 - p. 309",,,,2015-08-14T15:19:00Z
Bassorilievo - Victory,http://digitalmontagny.inha.fr/en/record/montagny03v02,Folio 3 Verso,"Leaf 3v, center of the page","Horizontal, turn book clockwise","Palmi, Quattro 1/2 , Bassorilievo Antico",,White paper,"Ink, line drawing",,Cast,Fragment from Trajan's column,Rome. Colonna Traiana,"41.895833, 12.484299","scene n° LXXVIII, in situ.",,bas-relief (sculpture technique),,,"Italy, Rome, Trajan's forum","41.8951795, 12.4853366",,,"Shield, Victory",,http://arachne.uni-koeln.de/item/relief/30014078,"Bober, Rubinstein, and Woodford, 1986",,2015-09-12T19:20:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 170 a,,
Bassorilievo - Warriors,http://digitalmontagny.inha.fr/en/record/montagny15r07,Folio 15 Recto,"Leaf 15r, bottom of the page","Horizontal, turn book clockwise",[ink] du Musée Pio clementino,,White paper,"Pencil, chiaroscuro",,Original work of art (made from),Fragment from a sarcophagus with Amazons,Vatican. Museo Pio-Clementino,,Inv. 896 ; Am. 69 ; Spi. PS 17 (sarcophagus),marble (rock),bas-relief (sculpture technique),170-180 AD,,,,"Before 1530 in the nord-west corner of the Cortile delle Statue, then in the Portico Ovest., Since 1985 in the Cortile Ottagono.",,"Fighting, Helmet, Shield, Sword, Warrior",,,"Amelung, 1903",,2015-03-16T13:53:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, p. 175",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreae et al., 1995",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, p. 277-279",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Helbig and Speier, 1963",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, p. 217",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Spinola, 2004",,
,,,,,,,,,,,,,,,,,,,,,,,,,,PS 17,,
Bassorilievo - Weapons,http://digitalmontagny.inha.fr/en/record/montagny10v04a,Folio 10 Verso,"Leaf 10v, upper middle of the page, right",Vertical,"figure , des maillets , desquels frappoient , les victimes les , Anciens",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,"Axe, Mallet, Weapon","Du Choul, 1581 - p. 311",,,,2015-07-27T11:25:00Z
Bassorilievo - Young man with a lamb,http://digitalmontagny.inha.fr/en/record/montagny79r02,Folio 79 Recto,"Leaf 79r, middle of the page, left","Horizontal, turn book clockwise",Stuc antique a la ville Albane,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,bas-relief (sculpture technique),,,,,"villa Albani, Rome",,"Lamb, Thyrsus","Saint-Non et al., 1790 - SA, pl. 14b (55)",,,,2015-08-15T14:34:00Z
Bronze statue - Horse,http://digitalmontagny.inha.fr/en/record/montagny08r02,Folio 8 Recto,"Leaf 8r, center of the page","Horizontal, turn book clockwise","cheval de Bronze qui est dans la cour du musée de Portici , il y en avoit autrefois quatre les autres trois ont été , fondus ; celui qui reste est de sept cent pieces, il est plus grand que nature, trouvé à Herculanum",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Horse,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",Inv. no. 4904,bronze (metal),statue,Claudian age,1739,"Italy, Herculaneum",,Portici museum,,Horse,,http://arachne.uni-koeln.de/item/objekt/13458,"Cantilena, 1989",,2015-09-16T15:14:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 110, n. 79",,
Bronze statue - Priapus,http://digitalmontagny.inha.fr/en/record/montagny10r02,Folio 10 Recto,"Leaf 10r, middle of the page, left",Vertical,"Silvano , in Metallo. , Tolto dall’Antico.",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,bronze (metal),statue,,,,,,,"Bunch of grapes, Fruit, Priapus","Bartoli and Galeotti, 1751 - II, pl. XXXVII",,,censored with black ink,2015-06-05T14:20:00Z
Cameo - Gorgon,http://digitalmontagny.inha.fr/en/record/montagny17r07,Folio 17 Recto,"Leaf 17r, bottom of the page, right",Vertical,"Gorgone in cameo , antico",,Transparent paper,"Ink, chiaroscuro",,Engraving,,"Vienna, Kunsthistorisches Museum","48.2038016, 16.3617874","Antikensammlung, inv. XII 843",carnelian,cameo,Modern (Renaissance),,,,Queen Christine of Sweden coll. (17th century),,"Gorgon, Snake","Bartoli and Galeotti, 1751 - I, pl. VIII",,"Borea and Gasparri, 2000",,2015-02-09T15:09:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 553, n. 25",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Eichler and Kris, 1927",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"n. 511, pl. 81",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Neverov, 1984",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 91, fig. 22 and 22a",,
Cameo - Gorgon's head,http://digitalmontagny.inha.fr/en/record/montagny17r03,Folio 17 Recto,"Leaf 17r, top of the page, right",Vertical,"Medusa, tolto , dall', Antico, in cameo , di piu , colori",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,,cameo,Ist BC,,,,,,"Gorgon, Medusa, Snake","Bartoli and Galeotti, 1751 - I, pl. VII",,"Boardman, 2009",,2015-08-15T14:24:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n° 326,,
Cameo - Livia,http://digitalmontagny.inha.fr/en/record/montagny27r03,Folio 27 Recto,"Leaf 27r, top of the page (right)","Horizontal, turn book clockwise","Livia , tolto dall , Antico, Cameo d'Agata",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,agate (chalcedony),cameo,,,,,,,Livia,"Bartoli and Galeotti, 1751 - I, pl. XXVIII",,,,2015-08-03T15:25:00Z
Cameo - Satyr,http://digitalmontagny.inha.fr/en/record/montagny28r03,Folio 28 Recto,"Leaf 28r, top right of the page",Vertical,"tolto dall' Antico, Satiro cameo , in Agata",,Transparent paper,"Ink, line drawing",,Engraving,Hyllos's Satyr,Berlin. Collection of Classical Antiquities,"52.52000659999999, 13.404954",Berliner Antiken-Sammlung inv. FG 11063,sardonyx,cameo,,,,,"Queen Christine of Sweden coll. (17th century), Then Odescalchi (Queen Christine's nephew) coll. until his death (1713)",,Faun,"Bartoli and Galeotti, 1751 - I, pl. XIII",,"Platz-Horster et al., 2012",,2015-08-03T12:12:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1895",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"pl. 126, 72",,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,R. mentions a wrong location : he thinks it's in the Hermitage museum.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Zazoff, 1983",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"pl. 19, 2.",,
Cameo - Three Graces,http://digitalmontagny.inha.fr/en/record/montagny16r07,Folio 16 Recto,"Leaf 16r, bottom of the page, left",Vertical,"Le Tre Gratie, cameo Antique",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,cameo,,,,,,,Three Graces,"Bartoli and Galeotti, 1751 - II, pl. XIV",,,,2015-08-15T14:23:00Z
Drawing - Hermes,http://digitalmontagny.inha.fr/en/record/montagny51r05,Folio 51 Recto,"Leaf 51r, bottom of the page, middle",Vertical,,,,"Pencil, line drawing",,Original work of art (made from),,Location unknown,,,,,,,,,,,"Herm, term, Mercury, Priapus",,,,,2015-07-27T13:29:00Z
Drawing - Ship,http://digitalmontagny.inha.fr/en/record/montagny64r04,Folio 64 Recto,"Leaf 64r, bottom of the page",Vertical,,,Blue paper,"Ink, line drawing",,Original work of art (made from),,Location unknown,,,,,,,,,,,Ship,,,,,2015-03-16T15:28:00Z
Drawing of invention (?) - Hand holding a crosier,http://digitalmontagny.inha.fr/en/record/montagny10v03e,Folio 10 Verso,"Leaf 10v, upper middle of the page, left",Vertical,,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,Crozier,"Du Choul, 1581 - p. 254",,,,2015-02-09T11:09:00Z
Drawing of invention - View of an Harbour,http://digitalmontagny.inha.fr/en/record/montagny75v01,Folio 75 Verso,"Leaf 75v, center of the page","Horizontal, turn book clockwise",,,Blue paper,Ink,,None,,Location unknown,,,,,,,,,,,"Harbour, Ship",,,,,2015-03-25T15:29:00Z
Engraved gem - Apollo,http://digitalmontagny.inha.fr/en/record/montagny09r04,Folio 9 Recto,"Leaf 9r, bottom right of the page","Horizontal, turn book clockwise","Apollo. , in Calcedonia , Tolto dall’, Antico",,Blue paper,"Ink, line drawing",,Engraving,"Apollo, engraved gem in chalcedony",Location unknown,,,chalcedony,intaglio,,,,,Pietro Santi Bartoli coll. (17th c.),,"Apollo, Laurel crown, Trident (Attributes of Neptune)","Bartoli and Galeotti, 1751 - I, pl. I",,,"Montagny identifies ""Apollo"" in this gem, while Bartoli calls it ""sole oriente""",2015-08-03T14:00:00Z
Engraved gem - Apollo,http://digitalmontagny.inha.fr/en/record/montagny15r03,Folio 15 Recto,"Leaf 15r, top right of the page",Vertical,"Apollo in _ Elitropio , Tolto dall'Antico",,Transparent paper,"Ink, line drawing",,Engraving,,London. British Museum,"51.5194133, -0.1269566","1867,0507.54",red jasper,intaglio,1stC-3rdC,,,,"Queen Christine of Sweden coll. (17th century), Louis, Duc de Blacas d'Aulps coll. (19th c.), Acquired by the British Museum from Blacas in 1867",,"Apollo, Garland, Lyre, Tripod","Bartoli and Galeotti, 1751 - II, pl. I",http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=437764&partId=1&searchText=1867%2C0507.54&page=1,"Borea and Gasparri, 2000",,2015-09-12T13:51:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 552, n. 20",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Walters, 1899",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 1315,,
Engraved gem - Bacchantes,http://digitalmontagny.inha.fr/en/record/montagny16r02,Folio 16 Recto,"Leaf 16r, upper middle of the page, left",Vertical,"cameo antico , in , Ametista, Baccante",,Transparent paper,"Ink, line drawing",,Engraving,Bust of Bacchante,Saint Petersburg. Hermitage Museum,"59.93983170000001, 30.3145597",inv. Z 5658,amethyst (mineral),intaglio,1st C.,,,,"Queen Christine of Sweden coll. (17th century), Then Odescalchi (Queen Christine's nephew) coll. until his death (1713), L.A. Perovsky coll., St Petersburg. 1873",,"Bacchant, Vine","Bartoli and Galeotti, 1751 - pl. XII",http://www.hermitagemuseum.org/wps/portal/hermitage/digital-collection/18.+Carved+Stones/997415/?lng=fr,"Borea and Gasparri, 2000",,2015-09-16T17:24:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 553, n. 22",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Neverov, 1984",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 92, fig. 36 and 36a",,
Engraved gem - Bacchus,http://digitalmontagny.inha.fr/en/record/montagny16r03,Folio 16 Recto,"Leaf 16r, lower center of the page, left",,"Sacerdote di Bacco , cameo , Antico in Giacinto",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,"Bacchus, Oenochoe, Thyrsus","Bartoli and Galeotti, 1751 - II, pl. XVII",,,,2015-08-15T14:22:00Z
Engraved gem - Centaur,http://digitalmontagny.inha.fr/en/record/montagny28r02,Folio 28 Recto,"Leaf 28r, top of the page (center)",Vertical,"Centauro , in Corniola, tolto dall' , Antico",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,carnelian,intaglio,,,,,,,"Basket, Centaur, Vine","Bartoli and Galeotti, 1751 - II, pl. XXV",,,,2015-08-03T12:13:00Z
Engraved gem - Comic mask,http://digitalmontagny.inha.fr/en/record/montagny17r05,Folio 17 Recto,"Leaf 17r, bottom of the page, left",Vertical,"Antica maschera , Bacchanali di sileno , in corniola",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,carnelian,intaglio,,,,,,,Mask,"Bartoli and Galeotti, 1751 - pl. XLII",,,,2015-08-15T14:24:00Z
Engraved gem - Cupid,http://digitalmontagny.inha.fr/en/record/montagny30r03,Folio 30 Recto,"Leaf 30r, bottom left of the page",Vertical,"Amore col'la face , in Elitropio, Tolto dall'Antico",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,bloodstone,intaglio,,,,,,,"Cupid, Torch","Bartoli and Galeotti, 1751 - II, pl. VIII",,,,2015-07-30T14:46:00Z
Engraved gem - Cybele,http://digitalmontagny.inha.fr/en/record/montagny68r02,Folio 68 Recto,"Leaf 68r, middle of the page",Vertical,"d'una Corniola antica che, rappresenta la dea Cibele,, a pie della quale è il fiume, Sangario. [?]",,Blue paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,carnelian,,,,,,,,"Cybele, Kanephoros, Palm leaf",,,,,2015-08-15T14:31:00Z
Engraved gem - Head of Paris,http://digitalmontagny.inha.fr/en/record/montagny27r07,Folio 27 Recto,"Leaf 27r, bottom right of the page","Horizontal, turn book clockwise","heleno , in Giacinto, tolto dall , Antico",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,hyacinth (zircon),intaglio,,,,,,,"Laurel crown, Paris, Phrygian bonnet","Bartoli and Galeotti, 1751 - I, pl. XIV",,,,2015-08-03T12:14:00Z
Engraved gem - Julius Caesar,http://digitalmontagny.inha.fr/en/record/montagny16r06,Folio 16 Recto,"Leaf 16r, center of the page, right",Vertical,"giulio , cesare, in , calcedonia , zaffirino",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,sapphire (mineral),intaglio,,,,,,,Laurel crown,"Bartoli and Galeotti, 1751 - I, pl. XXVI",,,,2015-08-03T13:59:00Z
Engraved gem - Mercury / Medal - Mercury,http://digitalmontagny.inha.fr/en/record/montagny72v01,Folio 72 Verso,"Leaf 72v, top of the page, left",Vertical,"Mercure avec, tous ses, symboles, vespasien, argent, gal, mouche, Bourse, scorpion, Bouc, Bellissima corciola",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,medal,,,,,,,"Caduceus (Attributes of Mercury), Cock, Goat, Mercury, Petasus (Attributes of Mercury), Purse, Scorpion, Snake","Du Choul, 1581 - p. 171",,,,2015-02-10T15:09:00Z
Engraved gem - Neptune in his chariot,http://digitalmontagny.inha.fr/en/record/montagny18r07,Folio 18 Recto,"Leaf 18r, bottom of the page, right",Vertical,"Nettuno in Acqua Marina , Tolto dall'Antico",,Transparent paper,"Ink, line drawing",,Engraving,,Rome. Musei Capitolini,"41.8929428, 12.4825577","Medagliere Capitolino, inv. 6730",,,,,,,Boncompagni - Ludovisi coll. (17th c.),,"Trident (Attributes of Neptune), Chariot, Neptune, Sea-horse","Bartoli and Galeotti, 1751 - II, pl. IV",http://www.beazley.ox.ac.uk/record/86CB58B3-0A25-42EF-A238-C93D9B5466F5,"Borea and Gasparri, 2000",,2015-02-09T15:20:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 556, n. 35",,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Pirzio Biroli Stefanelli, 1990",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 60, n° 34",,
Engraved gem - Pax,http://digitalmontagny.inha.fr/en/record/montagny17r01,Folio 17 Recto,"Leaf 17r, top of the page, left",Vertical,"La Pace in niccolo , tolto dall'Antico",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,nicolo,intaglio,,,,,,,"Palm leaf, Pax, Snake","Bartoli and Galeotti, 1751 - II, pl. XV",,,,2015-08-15T14:24:00Z
Engraved gem - Priest of Bacchus,http://digitalmontagny.inha.fr/en/record/montagny13r02,Folio 13 Recto,"Leaf 13r, top of the page, right","Horizontal, turn book clockwise","Sacerdote di Bacco. , in corniola , tolto dall Antico",,Transparent paper,"Ink, chiaroscuro",,Engraving,Intaglio of a bearded Dionysos,London. British Museum,"51.5194133, -0.1269566","inv. 548 ; 1814,0704.1355",carnelian,intaglio,2ndC BC-1stC BC,,,,"Queen Christine of Sweden coll. (17th century), Charles Townley coll. (18th c.-19th c.), Purchased in 1814 from Peregrine Edward Towneley by the British Museum",,"Bacchus, Priest, Thyrsus","Bartoli and Galeotti, 1751 - II, pl. XVIII",http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=437521&partId=1&searchText=1814%2C0704.1355&page=1,"Borea and Gasparri, 2000",,2015-09-12T13:18:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 553, n° 21",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Walters and Smith, 1926",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 1548,,
Engraved gem - Ptolemy,http://digitalmontagny.inha.fr/en/record/montagny29r02,Folio 29 Recto,"Leaf 29r, top of the page (center)","Horizontal, turn book clockwise","Tolomeo , Re in nicolo, Antico",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,nicolo,intaglio,,,,,,,,"Bartoli and Galeotti, 1751 - pl. XVII",,,,2015-08-03T12:07:00Z
Engraved gem - Siren,http://digitalmontagny.inha.fr/en/record/montagny13r04,Folio 13 Recto,"Leaf 13r, bottom of the page, left",Vertical,"Sirena in .... Elitropio. , Tolto dall Antico",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,,,,,,,,,"Column, pillar, Helmet, Quiver, Shield, Sirens, Spear, Stone vase","Bartoli and Galeotti, 1751 - II, pl. XXX",,,,2015-08-14T18:16:00Z
Engraved gem - Victory on a charriot,http://digitalmontagny.inha.fr/en/record/montagny52r03,Folio 52 Recto,"Leaf 52r, center of the page",Vertical,"Biga, corniola, Antica",,Blue paper,"Ink, line drawing",,Engraving,Cornelian,Location unknown,,Lost (see Reinach),carnelian,intaglio,,,,,"Van der Marck cabinet (Harleem), then Wassenaer (or Walckenaer)",,"Biga, Chariot, Horse, Victory","Bartoli and Galeotti, 1751 - II, pl. XXVII",,"Bartoli and Galeotti, 1751",,2015-07-27T13:24:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, pl. XXVII",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1895",,
,,,,,,,,,,,,,,,,,,,,,,,,,,pl. 135 n°41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Bears the artist's signature, but this inscription might be modern",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Winckelmann, 1760",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n° 1086,,
Engraved gem - Woman on a quadriga,http://digitalmontagny.inha.fr/en/record/montagny52r04,Folio 52 Recto,"Leaf 52r, middle of the page, right",Vertical,"quadriga, corniola antica",,Transparent paper,"Ink, chiaroscuro",,Engraving,Cornelian,Location unknown,,British Museum ?,carnelian,intaglio,,,,,"Baron de Morpeth (18th c.), Earl of Carlisle coll. (18th c.), British Museum",,"Chariot, Horse, Quadriga","Bartoli and Galeotti, 1751 - II, pl. XXVIII",,"Reinach, 1895",,2015-07-27T12:10:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,pl. 133 n°16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Winckelmann, 1760",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n° 16,,
Fountain - Three Graces,http://digitalmontagny.inha.fr/en/record/montagny16v01a,Folio 16 Verso,"Leaf 16v, top of the page",Vertical,"Le Ninfe,, o le Grazie , sono adoperata , ad uso di fonte , siccome apparisce , dalla sua cavità , nel mezzo , Antique , villa Borghese en marbre , 2. pieds 8 pouces de hauteur , stuc Antique",,Transparent paper,"Ink, line drawing",,Engraving,,Paris. Musée du Louvre,"48.8606111, 2.337644",MR 312,marble (rock),statue,1st c. BC,,,,Borghese collection (1806),,"Column, pillar, Vine","Saint-Non et al., 1790 - SA, pl. 12c (53)",http://arts-graphiques.louvre.fr/detail/oeuvres/0/231465-Deux-femmes-debout-vues-de-profil-les-bras-leves-retenant-un-faisceau,"Coliva, 2011",Saint-Non's engraving is not totally accurate.,2015-06-17T16:20:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 212,,
Furniture - Tripod with sphinxes,http://digitalmontagny.inha.fr/en/record/montagny15v03a,Folio 15 Verso,"Leaf 15v, center of the page",Vertical,"deux , Trepieds de , Bronze, , trois pieds 1/2 , de hauteur , du Muséum de , Portici, , près de Naples.",,Transparent paper,"Ink, line drawing",,Engraving,,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",72995,bronze (metal),"furniture, tripods (stands)",Ist C,,"Italy, Pompei, Temple of Isis, Regio VIII, 7","40.7461572, 14.4989344",,,"Bucranium, Crozier, Garland, Sphinx, Sphinge, Tripod","Saint-Non et al., 1790 - SA, pl. 16a (57)",,"Mattusch, 2013",,2015-02-24T15:09:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 55,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Winckelmann and Mattusch, 2011",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 105, n. 74",,
Furniture - Tripod with Ithyphallic satyrs,http://digitalmontagny.inha.fr/en/record/montagny15v03b,Folio 15 Verso,"Leaf 15v, center of the page",Vertical,,,Transparent paper,"Ink, line drawing",,Engraving,,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",27874 (gabinetto segreto),bronze (metal),"sculpture (visual work), furniture, tripods (stands)",Ist C,15th of June 1755,"Italy, Pompei, praedia of Julia Felix, Regio II, 4","40.7461572, 14.4989344",,,"Faun, Tripod","Saint-Non et al., 1790 - SA, pl. 16c (57)",,"Winckelmann and Mattusch, 2011",,2015-09-12T13:53:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 105, n. 73",,
Gem - Sacrificing victory,http://digitalmontagny.inha.fr/en/record/montagny29r06,Folio 29 Recto,"Leaf 29r, bottom of the page (center)","Horizontal, turn book clockwise","Sacrificio à Pallade in acqua , marina. Tolto dall' Antico",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,aquamarine (mineral),intaglio,,,,,,,"Column, pillar, Ox, Sacrifice, Victory","Bartoli and Galeotti, 1751 - II, pl. XVI",,,,2015-08-03T12:01:00Z
Herm (front view),http://digitalmontagny.inha.fr/en/record/montagny04v03,,"Leaf 4v, bottom of the page","Horizontal, turn book clockwise","Termine , nella , villa Borghese",,White paper,"Ink, line drawing",,Original work of art (made from),Herm,Location unknown,,,marble (rock),statue,,,,,"villa Borghese, Rome",,"Herm, term",,,,,2015-09-12T19:26:00Z
Herm (profile view),http://digitalmontagny.inha.fr/en/record/montagny06r05,Folio 6 Recto,"Leaf 6r, bottom of the page","Horizontal, turn book clockwise","Termine , villa Borghese",,White paper,"Ink, line drawing",,Original work of art (made from),Herm,Location unknown,,,marble (rock),statue,,,,,"villa Borghese, Rome",,"Herm, term",,,,,2015-09-12T19:37:00Z
Herm - Bearded man (front view),http://digitalmontagny.inha.fr/en/record/montagny05v01,,"Leaf 5v, top of the page","Horizontal, turn book clockwise","Doppio testo, d’un Termine, servendo a fare , cantone , nel Bosco della , villa Medici",,White paper,"Ink, line drawing",,Original work of art (made from),Herm,Rome. Villa Medici,"41.9083567, 12.4825788",herma n° 53,marble (rock),statue,,,,,"villa Medici, Rome",,"Herm, term",,,"Chastel and Morel, 1989",,2015-09-12T19:29:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, n. 330 (""Therme n° 53"")",,
Herm - Man and woman (profile view),http://digitalmontagny.inha.fr/en/record/montagny05v03,,"Leaf 5v, bottom of the page","Horizontal, turn book clockwise","Termine. , nel Bosco della villa , Medici",,White paper,"Ink, line drawing",,Original work of art (made from),Herm,Rome. Villa Medici,"41.9083567, 12.4825788",herma n° 53,marble (rock),statue,,,,,"villa Medici, Rome",,"Braid, Herm, term",,,"Chastel and Morel, 1989",,2015-09-12T19:31:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, n. 330 (""Therme n° 53"")",,
Herm - Woman (front view),http://digitalmontagny.inha.fr/en/record/montagny04v01,Folio 4 Verso,"Leaf 4v, top of the page","Horizontal, turn book clockwise","I., Termine che sta , nel Bosco della , villa medici , in Roma. , Altezza palmi , 9 meno un oncia",,White paper,"Ink, line drawing",,Original work of art (made from),Herm,Rome. Villa Medici,"41.9083567, 12.4825788",Cagiano de Azevedo n. 280,marble (rock),statue,After 313 D. C.,,"Italy, Rome, Basilica of Maxentius and Constantine","41.9027835, 12.4963655","villa Medici, Rome",,"Herm, term",,,"Cagiano de Azevedo, 1951",,2015-09-12T19:25:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"pp. 114, tav. LI, 112-113",,
Herm - Woman with braids (front view),http://digitalmontagny.inha.fr/en/record/montagny05v02,,"Leaf 5v, center of the page","Horizontal, turn book clockwise","Doppia Testa, d’un Termine, servendo a fare , cantone in un , giardino nel Bosco , della villa Medici",,White paper,"Ink, line drawing",,Original work of art (made from),Herm,Rome. Villa Medici,"41.9083567, 12.4825788",herma n° 53,marble (rock),statue,,,,,"villa Medici, Rome",,"Braid, Herm, term",,,"Chastel and Morel, 1989",,2015-09-12T19:29:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, n. 330 (""Therme n° 53"")",,
